ICB Sub location,GP_ODS_CODE
B2M3M,M84615
B2M3M,M84616
B2M3M,M84618
B2M3M,M84620
B2M3M,M84621
B2M3M,M84627
B2M3M,M84629
15E,M85001
15E,M85005
15E,M85006
15E,M85007
15E,M85009
15E,M85011
15E,M85013
15E,M85014
15E,M85016
15E,M85018
15E,M85019
15E,M85020
15E,M85021
15E,M85023
15E,M85024
15E,M85025
15E,M85026
15E,M85027
15E,M85028
15E,M85029
15E,M85030
15E,M85031
15E,M85033
15E,M85034
15E,M85035
15E,M85037
15E,M85041
15E,M85042
15E,M85043
15E,M85046
15E,M85047
15E,M85048
15E,M85051
15E,M85053
15E,M85055
15E,M85056
15E,M85058
15E,M85060
15E,M85061
15E,M85062
15E,M85063
15E,M85065
15E,M85066
15E,M85070
15E,M85071
15E,M85074
15E,M85076
15E,M85077
15E,M85078
15E,M85079
15E,M85081
15E,M85082
15E,M85084
15E,M85086
15E,M85087
15E,M85088
15E,M85094
15E,M85097
15E,M85098
15E,M85105
15E,M85107
15E,M85108
15E,M85110
15E,M85113
15E,M85115
15E,M85116
15E,M85117
15E,M85118
15E,M85123
15E,M85124
15E,M85128
15E,M85136
15E,M85139
15E,M85141
15E,M85143
15E,M85145
15E,M85146
15E,M85149
15E,M85153
15E,M85154
15E,M85155
15E,M85156
15E,M85158
15E,M85164
15E,M85167
15E,M85170
15E,M85171
15E,M85172
15E,M85174
15E,M85175
15E,M85176
15E,M85177
15E,M85178
15E,M85179
15E,M85600
15E,M85624
15E,M85634
15E,M85642
15E,M85669
15E,M85670
15E,M85676
15E,M85679
15E,M85680
15E,M85684
15E,M85686
15E,M85693
15E,M85694
15E,M85697
15E,M85699
15E,M85701
15E,M85706
15E,M85711
15E,M85713
15E,M85715
15E,M85716
15E,M85717
15E,M85721
15E,M85722
15E,M85730
15E,M85732
15E,M85733
15E,M85735
15E,M85736
15E,M85739
15E,M85746
15E,M85749
15E,M85756
15E,M85757
15E,M85759
15E,M85766
15E,M85770
15E,M85774
15E,M85778
15E,M85779
15E,M85781
15E,M85783
15E,M85792
15E,M85794
15E,M85797
15E,M85803
B2M3M,M86001
B2M3M,M86002
B2M3M,M86003
B2M3M,M86004
B2M3M,M86005
B2M3M,M86006
B2M3M,M86007
B2M3M,M86008
B2M3M,M86009
B2M3M,M86010
B2M3M,M86012
B2M3M,M86014
B2M3M,M86015
B2M3M,M86016
B2M3M,M86017
B2M3M,M86018
B2M3M,M86019
B2M3M,M86020
B2M3M,M86021
B2M3M,M86027
B2M3M,M86028
B2M3M,M86029
B2M3M,M86030
B2M3M,M86032
B2M3M,M86033
B2M3M,M86034
B2M3M,M86035
B2M3M,M86037
B2M3M,M86038
B2M3M,M86039
B2M3M,M86040
B2M3M,M86041
B2M3M,M86044
B2M3M,M86045
B2M3M,M86046
B2M3M,M86048
B2M3M,M86605
B2M3M,M86610
B2M3M,M86612
B2M3M,M86617
B2M3M,M86622
B2M3M,M86624
B2M3M,M86627
B2M3M,M86633
B2M3M,M86638
D2P2L,M87001
D2P2L,M87003
D2P2L,M87005
D2P2L,M87006
D2P2L,M87007
D2P2L,M87008
D2P2L,M87009
D2P2L,M87010
D2P2L,M87011
D2P2L,M87012
D2P2L,M87013
D2P2L,M87014
D2P2L,M87015
D2P2L,M87016
D2P2L,M87017
D2P2L,M87018
D2P2L,M87019
D2P2L,M87020
D2P2L,M87021
D2P2L,M87023
D2P2L,M87024
D2P2L,M87025
D2P2L,M87026
D2P2L,M87027
D2P2L,M87028
D2P2L,M87030
D2P2L,M87034
D2P2L,M87036
D2P2L,M87037
D2P2L,M87041
D2P2L,M87601
D2P2L,M87602
D2P2L,M87605
D2P2L,M87612
D2P2L,M87617
D2P2L,M87618
D2P2L,M87620
D2P2L,M87623
D2P2L,M87628
D2P2L,M87638
D2P2L,M88001
D2P2L,M88002
D2P2L,M88003
D2P2L,M88004
D2P2L,M88006
D2P2L,M88007
D2P2L,M88008
D2P2L,M88009
D2P2L,M88010
D2P2L,M88013
D2P2L,M88014
D2P2L,M88015
D2P2L,M88016
D2P2L,M88018
D2P2L,M88019
15E,M88020
D2P2L,M88021
D2P2L,M88022
D2P2L,M88023
D2P2L,M88026
D2P2L,M88030
D2P2L,M88035
D2P2L,M88038
D2P2L,M88040
D2P2L,M88041
D2P2L,M88042
D2P2L,M88043
D2P2L,M88600
D2P2L,M88610
D2P2L,M88612
D2P2L,M88616
D2P2L,M88618
D2P2L,M88619
D2P2L,M88620
D2P2L,M88625
D2P2L,M88626
D2P2L,M88628
D2P2L,M88630
D2P2L,M88633
D2P2L,M88635
D2P2L,M88639
D2P2L,M88640
D2P2L,M88643
D2P2L,M88645
D2P2L,M88646
D2P2L,M88647
15E,M89001
15E,M89002
15E,M89003
15E,M89005
15E,M89007
15E,M89008
15E,M89009
15E,M89010
15E,M89012
15E,M89013
15E,M89015
15E,M89016
15E,M89017
15E,M89019
15E,M89021
15E,M89024
15E,M89026
15E,M89027
15E,M89030
15E,M89608
D2P2L,M91003
D2P2L,M91004
D2P2L,M91006
D2P2L,M91007
D2P2L,M91008
D2P2L,M91009
D2P2L,M91010
D2P2L,M91013
D2P2L,M91014
D2P2L,M91015
D2P2L,M91016
D2P2L,M91017
D2P2L,M91018
D2P2L,M91019
D2P2L,M91021
D2P2L,M91024
D2P2L,M91026
D2P2L,M91028
D2P2L,M91029
D2P2L,M91032
D2P2L,M91033
D2P2L,M91034
D2P2L,M91036
D2P2L,M91602
D2P2L,M91609
D2P2L,M91611
D2P2L,M91612
D2P2L,M91613
D2P2L,M91614
D2P2L,M91616
D2P2L,M91619
D2P2L,M91621
D2P2L,M91623
D2P2L,M91624
D2P2L,M91626
D2P2L,M91628
D2P2L,M91629
D2P2L,M91637
D2P2L,M91639
D2P2L,M91640
D2P2L,M91641
15E,M91642
D2P2L,M91647
D2P2L,M91650
D2P2L,M91654
D2P2L,M91659
D2P2L,M92001
D2P2L,M92004
D2P2L,M92006
D2P2L,M92008
D2P2L,M92009
D2P2L,M92010
D2P2L,M92011
D2P2L,M92012
D2P2L,M92013
D2P2L,M92015
D2P2L,M92016
D2P2L,M92019
D2P2L,M92022
D2P2L,M92026
D2P2L,M92028
D2P2L,M92029
D2P2L,M92039
D2P2L,M92040
D2P2L,M92041
D2P2L,M92043
D2P2L,M92607
D2P2L,M92609
D2P2L,M92612
D2P2L,M92627
D2P2L,M92629
D2P2L,M92630
D2P2L,M92649
D2P2L,M92654
27D,N81001
27D,N81002
27D,N81005
27D,N81006
02E,N81007
27D,N81008
27D,N81009
27D,N81010
01F,N81011
02E,N81012
27D,N81013
02E,N81014
27D,N81016
27D,N81018
01F,N81019
02E,N81020
27D,N81022
27D,N81024
27D,N81025
27D,N81027
02E,N81028
27D,N81029
27D,N81030
27D,N81031
27D,N81032
27D,N81033
27D,N81034
01F,N81035
02E,N81036
01F,N81037
27D,N81038
27D,N81039
27D,N81040
02E,N81041
27D,N81043
27D,N81044
01F,N81045
27D,N81046
27D,N81047
02E,N81048
27D,N81049
27D,N81050
27D,N81051
27D,N81052
27D,N81053
01F,N81054
27D,N81055
02E,N81056
01F,N81057
02E,N81059
27D,N81060
27D,N81061
27D,N81062
27D,N81063
01F,N81064
02E,N81065
01F,N81066
27D,N81067
27D,N81068
27D,N81069
27D,N81070
27D,N81071
01F,N81072
27D,N81074
02E,N81075
27D,N81077
27D,N81079
27D,N81080
27D,N81081
27D,N81082
02E,N81083
27D,N81084
27D,N81085
27D,N81086
27D,N81087
27D,N81088
02E,N81089
27D,N81090
27D,N81092
27D,N81093
01F,N81096
02E,N81097
27D,N81100
27D,N81101
27D,N81102
02E,N81107
02E,N81108
02E,N81109
27D,N81111
27D,N81113
02E,N81114
27D,N81115
27D,N81117
27D,N81118
01F,N81119
27D,N81120
27D,N81121
02E,N81122
27D,N81123
27D,N81125
27D,N81127
27D,N81607
27D,N81614
01F,N81619
02E,N81623
27D,N81624
27D,N81626
02E,N81628
27D,N81632
02E,N81637
27D,N81642
02E,N81645
01F,N81651
27D,N81655
99A,N82001
99A,N82002
99A,N82003
99A,N82004
99A,N82009
99A,N82011
99A,N82014
99A,N82018
99A,N82019
99A,N82022
99A,N82024
99A,N82026
99A,N82033
99A,N82034
99A,N82035
99A,N82036
99A,N82037
99A,N82039
99A,N82041
99A,N82046
99A,N82048
99A,N82049
99A,N82050
99A,N82052
99A,N82053
99A,N82054
99A,N82058
99A,N82059
99A,N82062
99A,N82065
99A,N82066
99A,N82067
99A,N82070
99A,N82073
99A,N82074
99A,N82076
99A,N82077
99A,N82078
99A,N82079
99A,N82081
99A,N82082
99A,N82083
99A,N82084
99A,N82086
99A,N82087
99A,N82089
99A,N82090
99A,N82091
99A,N82092
99A,N82093
99A,N82094
99A,N82095
99A,N82097
99A,N82099
99A,N82101
99A,N82103
99A,N82104
99A,N82106
99A,N82107
99A,N82108
99A,N82109
99A,N82110
99A,N82113
99A,N82115
99A,N82116
99A,N82117
99A,N82617
99A,N82633
99A,N82641
99A,N82645
99A,N82646
99A,N82648
99A,N82650
99A,N82651
99A,N82655
99A,N82662
99A,N82663
99A,N82664
99A,N82668
99A,N82669
99A,N82671
99A,N82676
99A,N82678
01X,N83001
01X,N83002
01X,N83003
01X,N83005
01X,N83006
01X,N83007
01X,N83008
01J,N83009
01X,N83010
01X,N83012
01J,N83013
01J,N83014
01X,N83017
01J,N83018
01X,N83019
01X,N83020
01X,N83021
01X,N83023
01J,N83024
01J,N83025
01X,N83026
01X,N83027
01J,N83028
01J,N83030
01J,N83031
01J,N83032
01J,N83033
01X,N83035
01X,N83041
01J,N83043
01J,N83047
01X,N83049
01X,N83050
01X,N83053
01X,N83054
01J,N83601
01J,N83603
01J,N83605
01J,N83608
01J,N83609
01J,N83610
01X,N83614
01J,N83619
01X,N83620
01J,N83621
01J,N83622
01J,N83633
01X,N83637
01T,N84001
01T,N84002
01T,N84003
01T,N84004
01V,N84005
01V,N84006
01T,N84007
01V,N84008
01T,N84010
01T,N84011
01V,N84012
01V,N84013
01V,N84014
01T,N84015
01T,N84016
01V,N84017
01V,N84018
01T,N84019
01T,N84020
01V,N84021
01T,N84023
01V,N84024
01T,N84025
01T,N84027
01T,N84028
01T,N84029
01T,N84034
01T,N84035
01T,N84038
01T,N84041
01T,N84605
01V,N84613
01V,N84614
01T,N84615
01V,N84617
01T,N84621
01V,N84625
01T,N84626
12F,N85002
12F,N85005
12F,N85006
12F,N85007
12F,N85008
12F,N85012
12F,N85013
12F,N85015
12F,N85016
12F,N85017
12F,N85018
12F,N85019
12F,N85020
12F,N85021
12F,N85022
12F,N85023
12F,N85024
12F,N85025
12F,N85027
12F,N85028
12F,N85031
12F,N85032
12F,N85037
12F,N85038
12F,N85044
12F,N85046
12F,N85047
12F,N85048
12F,N85051
12F,N85052
12F,N85054
12F,N85057
12F,N85059
12F,N85616
12F,N85617
12F,N85620
12F,N85625
12F,N85629
12F,N85633
12F,N85634
12F,N85640
12F,N85643
12F,N85648
01K,P81002
01A,P81003
00Q,P81005
02M,P81006
01A,P81008
00X,P81010
01K,P81013
02G,P81014
01E,P81015
00R,P81016
01A,P81017
01E,P81018
01A,P81020
00Q,P81022
01A,P81025
01A,P81027
01K,P81029
02M,P81031
01A,P81032
00X,P81033
01A,P81035
01A,P81036
02M,P81037
00X,P81038
02G,P81039
01E,P81040
02G,P81041
00R,P81042
00R,P81043
00X,P81044
02G,P81045
01E,P81046
01A,P81047
00Q,P81051
01A,P81053
00R,P81054
01E,P81055
00X,P81057
00Q,P81058
02M,P81059
00Q,P81061
00X,P81062
00R,P81063
01A,P81065
00R,P81066
01E,P81067
01A,P81069
01A,P81070
01E,P81071
00R,P81072
00R,P81073
00R,P81074
00X,P81076
02M,P81077
01A,P81078
02M,P81079
00R,P81081
00X,P81082
00X,P81083
02G,P81084
02M,P81086
02M,P81087
01A,P81088
02M,P81089
00R,P81092
01A,P81095
02G,P81096
01A,P81099
01A,P81100
01E,P81103
01E,P81107
02G,P81112
01K,P81113
00R,P81115
00X,P81117
01A,P81118
01E,P81119
01A,P81123
00Q,P81125
00X,P81127
02M,P81128
02M,P81129
01A,P81130
01A,P81132
02M,P81133
02G,P81136
01A,P81137
02G,P81138
00Q,P81140
00X,P81143
01A,P81147
02M,P81149
02M,P81150
00X,P81154
00Q,P81155
02M,P81157
00R,P81159
01A,P81160
01A,P81165
01A,P81166
00Q,P81167
01E,P81169
01A,P81170
00X,P81171
00R,P81172
01E,P81179
00X,P81180
00X,P81181
01A,P81182
01E,P81184
01E,P81185
00X,P81186
02M,P81191
01E,P81196
01A,P81197
02G,P81201
02G,P81208
01A,P81212
01E,P81213
00Q,P81214
01A,P81218
01A,P81620
00Q,P81622
00Q,P81633
02G,P81646
01E,P81647
00X,P81655
01E,P81664
02M,P81668
02G,P81674
00R,P81681
00Q,P81683
01E,P81685
01A,P81686
00X,P81687
00X,P81692
00Q,P81694
02G,P81695
01A,P81699
00X,P81701
00Q,P81704
00Q,P81707
00Q,P81709
02G,P81710
01A,P81711
00R,P81714
00Q,P81721
00Q,P81724
01A,P81726
01A,P81730
01A,P81731
01A,P81732
00Q,P81734
01E,P81735
01A,P81736
00X,P81740
00X,P81741
02M,P81742
01E,P81748
01A,P81755
01A,P81757
01E,P81770
00Q,P81771
01A,P81780
00T,P82001
00T,P82002
00T,P82003
00T,P82004
00T,P82005
00T,P82006
00T,P82007
00T,P82008
00T,P82009
00T,P82010
00T,P82011
00T,P82012
00T,P82013
00T,P82014
00T,P82015
00T,P82016
00T,P82018
00T,P82020
00T,P82021
00T,P82022
00T,P82023
00T,P82025
00T,P82029
00T,P82030
00T,P82031
00T,P82033
00T,P82034
00T,P82036
00T,P82037
00T,P82607
00T,P82609
00T,P82613
00T,P82616
00T,P82624
00T,P82625
00T,P82626
00T,P82627
00T,P82629
00T,P82633
00T,P82634
00T,P82640
00T,P82643
00T,P82652
00T,P82660
00V,P83001
00V,P83004
00V,P83005
00V,P83006
00V,P83007
00V,P83009
00V,P83010
00V,P83011
00V,P83012
00V,P83015
00V,P83017
00V,P83021
00V,P83024
00V,P83025
00V,P83027
00V,P83603
00V,P83605
00V,P83608
00V,P83609
00V,P83611
00V,P83612
00V,P83620
00V,P83621
00V,P83623
14L,P84004
14L,P84005
14L,P84009
14L,P84010
14L,P84012
14L,P84014
14L,P84016
14L,P84017
14L,P84018
14L,P84019
14L,P84020
14L,P84021
14L,P84022
14L,P84023
14L,P84024
14L,P84025
14L,P84026
14L,P84027
14L,P84028
14L,P84029
14L,P84030
14L,P84032
14L,P84033
14L,P84034
14L,P84035
14L,P84037
14L,P84038
14L,P84039
14L,P84040
14L,P84041
14L,P84042
14L,P84043
14L,P84045
14L,P84046
14L,P84047
14L,P84048
14L,P84049
14L,P84050
14L,P84051
14L,P84052
14L,P84053
14L,P84054
14L,P84056
14L,P84059
14L,P84061
14L,P84064
14L,P84065
14L,P84066
14L,P84067
14L,P84068
14L,P84070
14L,P84071
14L,P84072
14L,P84074
14L,P84605
14L,P84611
14L,P84626
14L,P84630
14L,P84635
14L,P84637
14L,P84639
14L,P84644
14L,P84645
14L,P84650
14L,P84651
14L,P84663
14L,P84665
14L,P84669
14L,P84672
14L,P84673
14L,P84678
14L,P84679
14L,P84683
14L,P84684
14L,P84689
14L,P84690
00Y,P85002
00Y,P85003
00Y,P85004
00Y,P85005
00Y,P85007
00Y,P85010
00Y,P85011
00Y,P85012
00Y,P85013
00Y,P85014
00Y,P85015
00Y,P85016
00Y,P85017
00Y,P85018
00Y,P85019
00Y,P85020
00Y,P85021
00Y,P85022
00Y,P85026
00Y,P85601
00Y,P85605
00Y,P85606
00Y,P85608
00Y,P85610
00Y,P85612
00Y,P85614
00Y,P85615
00Y,P85622
01D,P86001
01D,P86002
01D,P86003
01D,P86004
01D,P86005
01D,P86006
01D,P86007
01D,P86008
01D,P86009
01D,P86010
01D,P86011
01D,P86012
01D,P86013
01D,P86014
01D,P86015
01D,P86016
01D,P86017
01D,P86018
01D,P86019
01D,P86021
01D,P86022
01D,P86023
01D,P86026
01D,P86602
01D,P86606
01D,P86608
01D,P86609
01D,P86614
01D,P86619
01D,P86620
01D,P86624
01G,P87002
01G,P87004
01G,P87008
01G,P87015
01G,P87016
01G,P87017
01G,P87019
01G,P87020
01G,P87022
01G,P87024
01G,P87025
01G,P87026
01G,P87027
01G,P87028
01G,P87032
01G,P87035
01G,P87040
01G,P87610
01G,P87613
01G,P87620
01G,P87624
01G,P87625
01G,P87627
01G,P87630
01G,P87634
01G,P87639
01G,P87648
01G,P87649
01G,P87654
01G,P87657
01G,P87658
01G,P87661
01W,P88002
01W,P88003
01W,P88005
01W,P88006
01W,P88007
01W,P88008
01W,P88009
01W,P88011
01W,P88012
01W,P88013
01W,P88014
01W,P88015
01W,P88016
01W,P88017
01W,P88018
01W,P88019
01W,P88020
01W,P88021
01W,P88023
01W,P88024
01W,P88025
01W,P88026
01W,P88031
01W,P88041
01W,P88042
01W,P88043
01W,P88044
01W,P88606
01W,P88615
01W,P88623
01W,P88625
01W,P88632
01Y,P89002
01Y,P89003
01Y,P89004
01Y,P89005
00Y,P89006
01Y,P89007
01Y,P89008
01Y,P89010
01Y,P89011
01Y,P89012
01Y,P89013
01Y,P89014
01Y,P89015
01Y,P89016
01Y,P89018
01Y,P89020
01Y,P89021
01Y,P89022
01Y,P89023
01Y,P89025
01Y,P89026
01Y,P89029
01Y,P89030
01Y,P89602
01Y,P89609
01Y,P89612
01Y,P89613
01Y,P89618
02A,P91003
02A,P91004
02A,P91006
02A,P91007
02A,P91008
02A,P91009
02A,P91011
02A,P91012
02A,P91013
02A,P91014
02A,P91016
02A,P91017
02A,P91018
02A,P91019
02A,P91020
02A,P91021
02A,P91026
02A,P91029
02A,P91035
02A,P91603
02A,P91604
02A,P91617
02A,P91623
02A,P91627
02A,P91629
02A,P91631
02H,P92001
02H,P92002
02H,P92003
02H,P92004
02H,P92005
02H,P92006
02H,P92007
02H,P92008
02H,P92010
02H,P92011
02H,P92012
02H,P92014
02H,P92015
02H,P92016
02H,P92017
02H,P92019
02H,P92020
02H,P92021
02H,P92023
02H,P92024
02H,P92026
02H,P92028
02H,P92029
02H,P92030
02H,P92031
02H,P92033
02H,P92034
02H,P92038
02H,P92041
02H,P92042
02H,P92602
02H,P92605
02H,P92607
02H,P92615
02H,P92620
02H,P92621
02H,P92626
02H,P92630
02H,P92633
02H,P92634
02H,P92635
02H,P92637
02H,P92639
02H,P92642
02H,P92646
02H,P92647
02H,P92648
02H,P92651
72Q,Y00020
52R,Y00026
07G,Y00033
02H,Y00050
06H,Y00056
93C,Y00057
B2M3M,Y00060
05D,Y00078
97R,Y00080
A3A8R,Y00090
04C,Y00137
B2M3M,Y00140
A3A8R,Y00155
15E,Y00159
13T,Y00184
06H,Y00185
00T,Y00186
W2U3Z,Y00200
W2U3Z,Y00206
D2P2L,Y00228
04V,Y00252
D4U1Y,Y00265
D2P2L,Y00278
16C,Y00286
06Q,Y00293
26A,Y00297
A3A8R,Y00312
93C,Y00316
04C,Y00344
00X,Y00347
70F,Y00351
W2U3Z,Y00352
78H,Y00399
A3A8R,Y00403
02P,Y00411
15E,Y00412
D4U1Y,Y00437
01G,Y00445
01T,Y00446
99E,Y00469
15E,Y00471
01X,Y00475
06H,Y00486
15E,Y00492
W2U3Z,Y00507
M1J4Y,Y00560
15N,Y00568
93C,Y00612
01D,Y00726
99E,Y00758
07K,Y00774
W2U3Z,Y00902
A3A8R,Y00918
11N,Y00969
B2M3M,Y00996
07G,Y00999
01K,Y01008
W2U3Z,Y01011
11N,Y01050
11N,Y01051
15E,Y01057
93C,Y01066
15E,Y01068
W2U3Z,Y01090
02E,Y01108
36J,Y01118
11N,Y01127
36L,Y01132
11X,Y01163
36L,Y01206
W2U3Z,Y01221
A3A8R,Y01280
D9Y0V,Y01281
A3A8R,Y01291
71E,Y01652
93C,Y01655
14L,Y01695
A3A8R,Y01719
D2P2L,Y01756
06L,Y01794
A3A8R,Y01795
15M,Y01812
A3A8R,Y01839
11N,Y01922
M2L0M,Y01929
03H,Y01948
14Y,Y01964
15F,Y02002
27D,Y02045
93C,Y02117
99G,Y02177
D2P2L,Y02212
02H,Y02274
00T,Y02319
02H,Y02322
14L,Y02325
M1J4Y,Y02332
W2U3Z,Y02342
04Y,Y02354
02H,Y02378
36L,Y02423
M1J4Y,Y02463
00X,Y02466
04C,Y02469
15A,Y02476
15F,Y02494
01X,Y02510
11N,Y02517
11M,Y02519
14L,Y02520
05W,Y02521
15E,Y02567
15E,Y02571
A3A8R,Y02575
15C,Y02578
01Y,Y02586
W2U3Z,Y02589
04Y,Y02594
01A,Y02605
01A,Y02606
06Q,Y02611
01G,Y02622
01G,Y02625
D2P2L,Y02626
D2P2L,Y02627
15N,Y02633
D2P2L,Y02636
06K,Y02639
06T,Y02646
D2P2L,Y02653
00Q,Y02657
01Y,Y02663
42D,Y02669
W2U3Z,Y02671
W2U3Z,Y02672
93C,Y02674
09D,Y02676
03H,Y02684
04C,Y02686
W2U3Z,Y02692
99G,Y02707
01Y,Y02713
01D,Y02718
01D,Y02720
01D,Y02721
D2P2L,Y02736
26A,Y02751
00Y,Y02753
00V,Y02755
D2P2L,Y02757
01G,Y02767
06H,Y02769
00T,Y02790
15E,Y02794
01D,Y02795
07G,Y02807
72Q,Y02811
00Y,Y02827
W2U3Z,Y02842
52R,Y02847
14L,Y02849
05W,Y02867
15C,Y02873
00Y,Y02875
02H,Y02885
02H,Y02886
14L,Y02890
15E,Y02893
M1J4Y,Y02900
W2U3Z,Y02906
A3A8R,Y02928
01Y,Y02936
36L,Y02946
14L,Y02960
A3A8R,Y02973
72Q,Y02974
93C,Y02986
A3A8R,Y02987
A3A8R,Y03023
93C,Y03035
A3A8R,Y03049
99E,Y03052
72Q,Y03063
00T,Y03079
93C,Y03103
52R,Y03124
93C,Y03135
26A,Y03222
00T,Y03366
93C,Y03402
W2U3Z,Y03441
26A,Y03595
15E,Y03597
18C,Y03602
93C,Y03663
93C,Y03664
72Q,Y03755
W2U3Z,Y04225
X2C4Y,Y04266
A3A8R,Y04273
15N,Y04662
27D,Y04664
02P,Y04809
B2M3M,Y04882
B2M3M,Y04884
02E,Y04925
11N,Y04957
B2M3M,Y04965
B2M3M,Y04969
15M,Y04977
15M,Y04995
06Q,Y05023
W2U3Z,Y05080
02X,Y05167
11M,Y05212
02P,Y05248
15M,Y05286
36L,Y05317
36L,Y05318
93C,Y05330
02Q,Y05346
03N,Y05349
02P,Y05363
02P,Y05364
52R,Y05369
52R,Y05622
52R,Y05690
15M,Y05733
27D,Y05750
15E,Y05826
36L,Y05857
09D,Y06007
72Q,Y06113
B2M3M,Y06218
26A,Y06275
72Q,Y06345
52R,Y06356
15E,Y06378
06Q,Y06389
52R,Y06443
72Q,Y06545
A3A8R,Y06592
X2C4Y,Y06659
52R,Y06792
M1J4Y,Y06810
D9Y0V,Y07014
72Q,Y07020
06H,Y07025
06H,Y07057
06H,Y07059
06H,Y07060
X2C4Y,Y07275
02H,Y07697
A3A8R,Y08371
72Q,Y0841116C,A81634
13T,A85023
99C,A87006
99C,A87019
99C,A87600
02Y,B81042
03F,B81052
03K,B81065
03F,B81675
42D,B82091
36J,B83621
15M,C81028
15M,C81074
15M,C81077
52R,C84103
02X,C86606
06H,D81023
06H,D81085
26A,D82004
26A,D82060
07K,D83064
06N,E82064
W2U3Z,E85617
W2U3Z,E87691
99E,F81651
A3A8R,F86703
91Q,G82064
91Q,G82653
91Q,G82681
91Q,G82809
72Q,G83047
72Q,G85020
72Q,G85047
72Q,G85711
92A,H81613
36L,H85691
92G,J81083
D9Y0V,J82022
D9Y0V,J82063
D9Y0V,J82089
D4U1Y,K81005
14Y,K82029
14Y,K82049
78H,K83020
15C,L81117
15C,L81649
15N,L83657
11M,L84069
11X,L85010
11X,L85048
11X,L85050
B2M3M,M84043
15E,M85002
15E,M85069
15E,M85134
D2P2L,M87621
D2P2L,M91660
D2P2L,M92640
01X,N83045
01X,N83624
01V,N84037
01T,N84043
01T,N84630
01G,P87651
02H,Y02321
03F,Y02747
03K,Y02787
00Y,Y02933
26A,Y05291
16C,A81634
03F,B81645
W2U3Z,E87007
26A,Y01690
W2U3Z,Y06487
